0	142
16	147
18	146
24	304
29	200
33	200
34	309
46	251
58	285
62	285
65	283
66	281
72	265
76	252
79	289
81	111
82	139
82	148
82	215
83	214
106	242
112	241
113	241
116	241
123	308
125	309
164	303
165	303
175	165
179	165
185	248
191	253
192	158
197	158
213	319
217	319
218	351
222	341
233	248
239	238
242	243
244	242
294	243
295	243
296	286
297	277
298	276
299	241
301	241
321	257
321	258
322	256
326	264
329	259
332	262
336	339
339	334
343	250
343	284
346	248
346	286
376	344
380	270
384	267
385	340
389	357
390	352
399	224
400	225
414	315
422	299
422	355
424	357
444	315
446	333
449	317
