15	197
20	205
22	272
25	292
32	199
33	273
36	291
43	317
43	327
45	247
51	155
52	288
53	313
54	159
60	320
63	246
68	262
72	289
74	226
82	135
82	152
86	232
89	166
89	179
89	248
94	252
95	330
100	255
100	335
103	243
105	235
106	343
107	242
108	306
110	261
112	259
116	241
124	247
140	194
144	327
149	329
151	162
151	317
155	319
155	330
165	303
168	202
169	191
176	251
180	165
185	248
188	315
193	254
194	156
198	255
202	162
205	165
211	320
211	347
221	278
222	249
227	291
234	243
237	194
237	348
239	338
240	251
241	290
246	243
247	348
249	328
251	367
254	262
256	325
256	331
265	345
268	353
269	344
270	271
282	271
288	355
292	242
293	261
297	352
303	251
305	240
334	251
335	340
338	334
343	250
347	340
349	276
361	308
362	339
367	299
374	260
377	303
385	267
387	340
390	332
392	277
399	297
406	230
417	237
421	241
429	243
431	324
434	309
439	329
440	314
443	331
447	315
456	324
461	328
463	328
470	335
475	336
494	208
