2 3 1.589313 3.386571 1.797259 (-1.000000, -54.000000, -64.000000, 16.000000)
2 3 1.589313 3.386571 1.797259 (-1.000000, -54.000000, -64.000000, 16.000000)
2 3 1.589313 3.386571 1.797259 (-1.000000, -54.000000, -64.000000, 16.000000)
2 3 1.589313 3.948264 2.358951 (-1.000000, -54.000000, -46.000000, 48.000000)
2 3 1.589313 3.948264 2.358951 (-1.000000, -54.000000, -46.000000, 48.000000)
2 3 1.589313 3.948264 2.358951 (-1.000000, -54.000000, -46.000000, 48.000000)
2 3 1.589313 3.948264 2.358951 (-1.000000, -54.000000, -46.000000, 48.000000)
2 3 1.589313 4.202417 2.613104 (-1.000000, -54.000000, -33.000000, 59.000000)
2 3 1.589313 4.202417 2.613104 (-1.000000, -54.000000, -33.000000, 59.000000)
2 3 1.589313 4.202417 2.613104 (-1.000000, -54.000000, -33.000000, 59.000000)
2 3 1.589313 4.202417 2.613104 (-1.000000, -54.000000, -33.000000, 59.000000)
2 4 1.589313 4.726674 3.137361 (-1.000000, -54.000000, 1.000000, 70.000000)
2 4 1.589313 4.726674 3.137361 (-1.000000, -54.000000, 1.000000, 70.000000)
2 4 1.589313 4.726674 3.137361 (-1.000000, -54.000000, 1.000000, 70.000000)
2 4 1.589313 4.726674 3.137361 (-1.000000, -54.000000, 1.000000, 70.000000)
2 4 1.589313 5.071160 3.481847 (-1.000000, -54.000000, 24.000000, 64.000000)
2 4 1.589313 5.071160 3.481847 (-1.000000, -54.000000, 24.000000, 64.000000)
2 4 1.589313 5.071160 3.481847 (-1.000000, -54.000000, 24.000000, 64.000000)
2 4 1.589313 5.071160 3.481847 (-1.000000, -54.000000, 24.000000, 64.000000)
2 4 1.589313 5.071160 3.481847 (-1.000000, -54.000000, 24.000000, 64.000000)
2 4 1.589313 5.071160 3.481847 (-1.000000, -54.000000, 24.000000, 64.000000)
2 4 1.589313 5.484089 3.894777 (-1.000000, -54.000000, 36.000000, 37.000000)
2 4 1.589313 5.484089 3.894777 (-1.000000, -54.000000, 36.000000, 37.000000)
2 4 1.589313 5.484089 3.894777 (-1.000000, -54.000000, 36.000000, 37.000000)
2 4 1.589313 5.484089 3.894777 (-1.000000, -54.000000, 36.000000, 37.000000)
2 4 1.589313 5.951631 4.362318 (-1.000000, -54.000000, 61.000000, 21.000000)
2 4 1.589313 5.951631 4.362318 (-1.000000, -54.000000, 61.000000, 21.000000)
3 1 3.628492 0.428264 3.082958 (-34.000000, 18.000000, 46.000000, -21.000000)
3 1 3.628492 0.428264 3.082958 (-34.000000, 18.000000, 46.000000, -21.000000)
3 1 3.628492 0.428264 3.082958 (-34.000000, 18.000000, 46.000000, -21.000000)
