    [junit] after addscratch: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|1097728> (0.003906) (|01 0000 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1114112> (0.003906) (|01 0001 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1130496> (0.003906) (|01 0001 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1146880> (0.003906) (|01 0001 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1163264> (0.003906) (|01 0001 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1179648> (0.003906) (|01 0010 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1196032> (0.003906) (|01 0010 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1212416> (0.003906) (|01 0010 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1228800> (0.003906) (|01 0010 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1245184> (0.003906) (|01 0011 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1261568> (0.003906) (|01 0011 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1277952> (0.003906) (|01 0011 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1294336> (0.003906) (|01 0011 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1310720> (0.003906) (|01 0100 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1327104> (0.003906) (|01 0100 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1343488> (0.003906) (|01 0100 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1359872> (0.003906) (|01 0100 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1376256> (0.003906) (|01 0101 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1392640> (0.003906) (|01 0101 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1409024> (0.003906) (|01 0101 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1425408> (0.003906) (|01 0101 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1441792> (0.003906) (|01 0110 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1458176> (0.003906) (|01 0110 0100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1474560> (0.003906) (|01 0110 1000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1490944> (0.003906) (|01 0110 1100 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1507328> (0.003906) (|01 0111 0000 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1523712> (0.003906) (|01 0111 0100 0000 0000 0000>)
