    [junit] init reg: 8 qubits, 1 node, and 1024 hash table length, hashw=10
    [junit] after init and norm with quantum_hadamard: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|86> (0.003906) (| 0101 0110>)
    [junit] 0.062500 0.000000i|87> (0.003906) (| 0101 0111>)
    [junit] 0.062500 0.000000i|88> (0.003906) (| 0101 1000>)
    [junit] 0.062500 0.000000i|89> (0.003906) (| 0101 1001>)
    [junit] 0.062500 0.000000i|90> (0.003906) (| 0101 1010>)
    [junit] 0.062500 0.000000i|91> (0.003906) (| 0101 1011>)
    [junit] 0.062500 0.000000i|92> (0.003906) (| 0101 1100>)
    [junit] 0.062500 0.000000i|93> (0.003906) (| 0101 1101>)
    [junit] 0.062500 0.000000i|94> (0.003906) (| 0101 1110>)
    [junit] 0.062500 0.000000i|95> (0.003906) (| 0101 1111>)
    [junit] 0.062500 0.000000i|96> (0.003906) (| 0110 0000>)
    [junit] 0.062500 0.000000i|97> (0.003906) (| 0110 0001>)
    [junit] 0.062500 0.000000i|98> (0.003906) (| 0110 0010>)
    [junit] 0.062500 0.000000i|99> (0.003906) (| 0110 0011>)
    [junit] 0.062500 0.000000i|100> (0.003906) (| 0110 0100>)
    [junit] 0.062500 0.000000i|101> (0.003906) (| 0110 0101>)
    [junit] 0.062500 0.000000i|102> (0.003906) (| 0110 0110>)
    [junit] 0.062500 0.000000i|103> (0.003906) (| 0110 0111>)
    [junit] 0.062500 0.000000i|104> (0.003906) (| 0110 1000>)
    [junit] 0.062500 0.000000i|105> (0.003906) (| 0110 1001>)
    [junit] 0.062500 0.000000i|106> (0.003906) (| 0110 1010>)
    [junit] 0.062500 0.000000i|107> (0.003906) (| 0110 1011>)
    [junit] 0.062500 0.000000i|108> (0.003906) (| 0110 1100>)
    [junit] 0.062500 0.000000i|109> (0.003906) (| 0110 1101>)
    [junit] 0.062500 0.000000i|110> (0.003906) (| 0110 1110>)
    [junit] 0.062500 0.000000i|111> (0.003906) (| 0110 1111>)
    [junit] 0.062500 0.000000i|112> (0.003906) (| 0111 0000>)
    [junit] 0.062500 0.000000i|113> (0.003906) (| 0111 0001>)
    [junit] 0.062500 0.000000i|114> (0.003906) (| 0111 0010>)
    [junit] 0.062500 0.000000i|115> (0.003906) (| 0111 0011>)
    [junit] 0.062500 0.000000i|116> (0.003906) (| 0111 0100>)
    [junit] 0.062500 0.000000i|117> (0.003906) (| 0111 0101>)
    [junit] 0.062500 0.000000i|118> (0.003906) (| 0111 0110>)
    [junit] 0.062500 0.000000i|119> (0.003906) (| 0111 0111>)
    [junit] 0.062500 0.000000i|120> (0.003906) (| 0111 1000>)
    [junit] 0.062500 0.000000i|121> (0.003906) (| 0111 1001>)
    [junit] 0.062500 0.000000i|122> (0.003906) (| 0111 1010>)
    [junit] 0.062500 0.000000i|123> (0.003906) (| 0111 1011>)
    [junit] 0.062500 0.000000i|124> (0.003906) (| 0111 1100>)
    [junit] 0.062500 0.000000i|125> (0.003906) (| 0111 1101>)
    [junit] 0.062500 0.000000i|126> (0.003906) (| 0111 1110>)
    [junit] 0.062500 0.000000i|127> (0.003906) (| 0111 1111>)
    [junit] 0.062500 0.000000i|128> (0.003906) (| 1000 0000>)
    [junit] 0.062500 0.000000i|129> (0.003906) (| 1000 0001>)
    [junit] 0.062500 0.000000i|130> (0.003906) (| 1000 0010>)
    [junit] 0.062500 0.000000i|131> (0.003906) (| 1000 0011>)
    [junit] 0.062500 0.000000i|132> (0.003906) (| 1000 0100>)
    [junit] 0.062500 0.000000i|133> (0.003906) (| 1000 0101>)
    [junit] 0.062500 0.000000i|134> (0.003906) (| 1000 0110>)
    [junit] 0.062500 0.000000i|135> (0.003906) (| 1000 0111>)
    [junit] 0.062500 0.000000i|136> (0.003906) (| 1000 1000>)
    [junit] 0.062500 0.000000i|137> (0.003906) (| 1000 1001>)
    [junit] 0.062500 0.000000i|138> (0.003906) (| 1000 1010>)
    [junit] 0.062500 0.000000i|139> (0.003906) (| 1000 1011>)
    [junit] 0.062500 0.000000i|140> (0.003906) (| 1000 1100>)
    [junit] 0.062500 0.000000i|141> (0.003906) (| 1000 1101>)
    [junit] 0.062500 0.000000i|142> (0.003906) (| 1000 1110>)
    [junit] 0.062500 0.000000i|143> (0.003906) (| 1000 1111>)
    [junit] 0.062500 0.000000i|144> (0.003906) (| 1001 0000>)
    [junit] 0.062500 0.000000i|145> (0.003906) (| 1001 0001>)
    [junit] 0.062500 0.000000i|146> (0.003906) (| 1001 0010>)
    [junit] 0.062500 0.000000i|147> (0.003906) (| 1001 0011>)
    [junit] 0.062500 0.000000i|148> (0.003906) (| 1001 0100>)
    [junit] 0.062500 0.000000i|149> (0.003906) (| 1001 0101>)
    [junit] 0.062500 0.000000i|150> (0.003906) (| 1001 0110>)
    [junit] 0.062500 0.000000i|151> (0.003906) (| 1001 0111>)
    [junit] 0.062500 0.000000i|152> (0.003906) (| 1001 1000>)
    [junit] 0.062500 0.000000i|153> (0.003906) (| 1001 1001>)
    [junit] 0.062500 0.000000i|154> (0.003906) (| 1001 1010>)
    [junit] 0.062500 0.000000i|155> (0.003906) (| 1001 1011>)
    [junit] 0.062500 0.000000i|156> (0.003906) (| 1001 1100>)
    [junit] 0.062500 0.000000i|157> (0.003906) (| 1001 1101>)
    [junit] 0.062500 0.000000i|158> (0.003906) (| 1001 1110>)
    [junit] 0.062500 0.000000i|159> (0.003906) (| 1001 1111>)
    [junit] 0.062500 0.000000i|160> (0.003906) (| 1010 0000>)
    [junit] 0.062500 0.000000i|161> (0.003906) (| 1010 0001>)
    [junit] 0.062500 0.000000i|162> (0.003906) (| 1010 0010>)
    [junit] 0.062500 0.000000i|163> (0.003906) (| 1010 0011>)
    [junit] 0.062500 0.000000i|164> (0.003906) (| 1010 0100>)
    [junit] 0.062500 0.000000i|165> (0.003906) (| 1010 0101>)
    [junit] 0.062500 0.000000i|166> (0.003906) (| 1010 0110>)
    [junit] 0.062500 0.000000i|167> (0.003906) (| 1010 0111>)
    [junit] 0.062500 0.000000i|168> (0.003906) (| 1010 1000>)
    [junit] 0.062500 0.000000i|169> (0.003906) (| 1010 1001>)
    [junit] 0.062500 0.000000i|170> (0.003906) (| 1010 1010>)
    [junit] 0.062500 0.000000i|171> (0.003906) (| 1010 1011>)
    [junit] 0.062500 0.000000i|172> (0.003906) (| 1010 1100>)
    [junit] 0.062500 0.000000i|173> (0.003906) (| 1010 1101>)
    [junit] 0.062500 0.000000i|174> (0.003906) (| 1010 1110>)
    [junit] 0.062500 0.000000i|175> (0.003906) (| 1010 1111>)
    [junit] 0.062500 0.000000i|176> (0.003906) (| 1011 0000>)
    [junit] 0.062500 0.000000i|177> (0.003906) (| 1011 0001>)
    [junit] 0.062500 0.000000i|178> (0.003906) (| 1011 0010>)
    [junit] 0.062500 0.000000i|179> (0.003906) (| 1011 0011>)
    [junit] 0.062500 0.000000i|180> (0.003906) (| 1011 0100>)
    [junit] 0.062500 0.000000i|181> (0.003906) (| 1011 0101>)
    [junit] 0.062500 0.000000i|182> (0.003906) (| 1011 0110>)
    [junit] 0.062500 0.000000i|183> (0.003906) (| 1011 0111>)
    [junit] 0.062500 0.000000i|184> (0.003906) (| 1011 1000>)
    [junit] 0.062500 0.000000i|185> (0.003906) (| 1011 1001>)
    [junit] 0.062500 0.000000i|186> (0.003906) (| 1011 1010>)
    [junit] 0.062500 0.000000i|187> (0.003906) (| 1011 1011>)
    [junit] 0.062500 0.000000i|188> (0.003906) (| 1011 1100>)
    [junit] 0.062500 0.000000i|189> (0.003906) (| 1011 1101>)
    [junit] 0.062500 0.000000i|190> (0.003906) (| 1011 1110>)
    [junit] 0.062500 0.000000i|191> (0.003906) (| 1011 1111>)
    [junit] 0.062500 0.000000i|192> (0.003906) (| 1100 0000>)
    [junit] 0.062500 0.000000i|193> (0.003906) (| 1100 0001>)
    [junit] 0.062500 0.000000i|194> (0.003906) (| 1100 0010>)
    [junit] 0.062500 0.000000i|195> (0.003906) (| 1100 0011>)
    [junit] 0.062500 0.000000i|196> (0.003906) (| 1100 0100>)
    [junit] 0.062500 0.000000i|197> (0.003906) (| 1100 0101>)
    [junit] 0.062500 0.000000i|198> (0.003906) (| 1100 0110>)
    [junit] 0.062500 0.000000i|199> (0.003906) (| 1100 0111>)
    [junit] 0.062500 0.000000i|200> (0.003906) (| 1100 1000>)
    [junit] 0.062500 0.000000i|201> (0.003906) (| 1100 1001>)
    [junit] 0.062500 0.000000i|202> (0.003906) (| 1100 1010>)
    [junit] 0.062500 0.000000i|203> (0.003906) (| 1100 1011>)
    [junit] 0.062500 0.000000i|204> (0.003906) (| 1100 1100>)
    [junit] 0.062500 0.000000i|205> (0.003906) (| 1100 1101>)
    [junit] 0.062500 0.000000i|206> (0.003906) (| 1100 1110>)
    [junit] 0.062500 0.000000i|207> (0.003906) (| 1100 1111>)
    [junit] 0.062500 0.000000i|208> (0.003906) (| 1101 0000>)
    [junit] 0.062500 0.000000i|209> (0.003906) (| 1101 0001>)
    [junit] 0.062500 0.000000i|210> (0.003906) (| 1101 0010>)
    [junit] 0.062500 0.000000i|211> (0.003906) (| 1101 0011>)
    [junit] 0.062500 0.000000i|212> (0.003906) (| 1101 0100>)
    [junit] 0.062500 0.000000i|213> (0.003906) (| 1101 0101>)
    [junit] 0.062500 0.000000i|214> (0.003906) (| 1101 0110>)
    [junit] 0.062500 0.000000i|215> (0.003906) (| 1101 0111>)
    [junit] 0.062500 0.000000i|216> (0.003906) (| 1101 1000>)
    [junit] 0.062500 0.000000i|217> (0.003906) (| 1101 1001>)
    [junit] 0.062500 0.000000i|218> (0.003906) (| 1101 1010>)
    [junit] 0.062500 0.000000i|219> (0.003906) (| 1101 1011>)
    [junit] 0.062500 0.000000i|220> (0.003906) (| 1101 1100>)
    [junit] 0.062500 0.000000i|221> (0.003906) (| 1101 1101>)
    [junit] 0.062500 0.000000i|222> (0.003906) (| 1101 1110>)
    [junit] 0.062500 0.000000i|223> (0.003906) (| 1101 1111>)
    [junit] 0.062500 0.000000i|224> (0.003906) (| 1110 0000>)
    [junit] 0.062500 0.000000i|225> (0.003906) (| 1110 0001>)
    [junit] 0.062500 0.000000i|226> (0.003906) (| 1110 0010>)
    [junit] 0.062500 0.000000i|227> (0.003906) (| 1110 0011>)
    [junit] 0.062500 0.000000i|228> (0.003906) (| 1110 0100>)
    [junit] 0.062500 0.000000i|229> (0.003906) (| 1110 0101>)
    [junit] 0.062500 0.000000i|230> (0.003906) (| 1110 0110>)
    [junit] 0.062500 0.000000i|231> (0.003906) (| 1110 0111>)
    [junit] 0.062500 0.000000i|232> (0.003906) (| 1110 1000>)
    [junit] 0.062500 0.000000i|233> (0.003906) (| 1110 1001>)
    [junit] 0.062500 0.000000i|234> (0.003906) (| 1110 1010>)
    [junit] 0.062500 0.000000i|235> (0.003906) (| 1110 1011>)
    [junit] 0.062500 0.000000i|236> (0.003906) (| 1110 1100>)
    [junit] 0.062500 0.000000i|237> (0.003906) (| 1110 1101>)
    [junit] 0.062500 0.000000i|238> (0.003906) (| 1110 1110>)
    [junit] 0.062500 0.000000i|239> (0.003906) (| 1110 1111>)
    [junit] 0.062500 0.000000i|240> (0.003906) (| 1111 0000>)
    [junit] 0.062500 0.000000i|241> (0.003906) (| 1111 0001>)
    [junit] 0.062500 0.000000i|242> (0.003906) (| 1111 0010>)
    [junit] 0.062500 0.000000i|243> (0.003906) (| 1111 0011>)
    [junit] 0.062500 0.000000i|244> (0.003906) (| 1111 0100>)
    [junit] 0.062500 0.000000i|245> (0.003906) (| 1111 0101>)
    [junit] 0.062500 0.000000i|246> (0.003906) (| 1111 0110>)
    [junit] 0.062500 0.000000i|247> (0.003906) (| 1111 0111>)
    [junit] 0.062500 0.000000i|248> (0.003906) (| 1111 1000>)
    [junit] 0.062500 0.000000i|249> (0.003906) (| 1111 1001>)
    [junit] 0.062500 0.000000i|250> (0.003906) (| 1111 1010>)
    [junit] 0.062500 0.000000i|251> (0.003906) (| 1111 1011>)
    [junit] 0.062500 0.000000i|252> (0.003906) (| 1111 1100>)
    [junit] 0.062500 0.000000i|253> (0.003906) (| 1111 1101>)
    [junit] 0.062500 0.000000i|254> (0.003906) (| 1111 1110>)
    [junit] 0.062500 0.000000i|255> (0.003906) (| 1111 1111>)
