    [junit] after exp_mod_n: reg.size=256 hash.length=1024
    [junit] 0.062500 0.000000i|1099776> (0.003906) (|01 0000 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1115136> (0.003906) (|01 0001 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1138688> (0.003906) (|01 0001 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1150976> (0.003906) (|01 0001 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1165312> (0.003906) (|01 0001 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1180672> (0.003906) (|01 0010 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1204224> (0.003906) (|01 0010 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1216512> (0.003906) (|01 0010 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1230848> (0.003906) (|01 0010 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1246208> (0.003906) (|01 0011 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1269760> (0.003906) (|01 0011 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1282048> (0.003906) (|01 0011 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1296384> (0.003906) (|01 0011 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1311744> (0.003906) (|01 0100 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1335296> (0.003906) (|01 0100 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1347584> (0.003906) (|01 0100 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1361920> (0.003906) (|01 0100 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1377280> (0.003906) (|01 0101 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1400832> (0.003906) (|01 0101 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1413120> (0.003906) (|01 0101 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1427456> (0.003906) (|01 0101 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1442816> (0.003906) (|01 0110 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1466368> (0.003906) (|01 0110 0110 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1478656> (0.003906) (|01 0110 1001 0000 0000 0000>)
    [junit] 0.062500 0.000000i|1492992> (0.003906) (|01 0110 1100 1000 0000 0000>)
    [junit] 0.062500 0.000000i|1508352> (0.003906) (|01 0111 0000 0100 0000 0000>)
    [junit] 0.062500 0.000000i|1531904> (0.003906) (|01 0111 0110 0000 0000 0000>)
